"Município","ibge","latitude","longitude","/Exportações/Total 2010 (US$ FOB)","/Exportações/Total 2011 (US$ FOB)","/Exportações/Total 2012 (US$ FOB)","/Exportações/Total 2013 (US$ FOB)","/Exportações/Total 2014 (US$ FOB)","/Exportações/Total 2015 (US$ FOB)","/Exportações/Total 2016 (US$ FOB)","/Exportações/Total 2017 (US$ FOB)","/Exportações/Total 2018 (US$ FOB)","/Exportações/Total 2019 (US$ FOB)","/Exportações/Total 2020 (US$ FOB)","/Exportações/Total 2021 (US$ FOB)"
"Chapada","4305306","-28.055900000000","-53.066499999990","-","1.740.000","-","-","-","84.919","-","-","-","-","-","-"
"Charqueadas","4305355","-29.962500000000","-51.628900000000","41.018.540","58.633.226","55.395.962","43.452.770","54.294.020","53.967.311","35.702.491","61.657.421","97.976.075","68.456.728","48.983.293","71.137.910"
"Chuí","4305439","-33.686599999990","-53.459400000000","6.906.032","7.834.919","5.877.657","2.813.011","1.937.281","2.822.177","1.414.062","1.249.606","1.692.753","1.017.208","830.994","965.792"
"Chuvisca","4305447","-30.750399999990","-51.973700000000","283.932","283.932","-","-","-","-","-","-","-","-","-","-"
"Colinas","4305587","-29.381499999990","-51.852600000000","-","-","-","-","-","-","7.616","-","-","-","400","12.448"
"Colorado","4305603","-28.525800000000","-52.992800000000","-","-","-","-","-","-","-","-","24.000","65.800","2.600","9.281"
"Condor","4305702","-28.207500000000","-53.490499999990","67.330","868.666","69.442","147.799","130.270","28.226","223.094","146.780","485.396","126.927","310.257","294.353"
"Constantina","4305801","-27.731999999990","-52.993800000000","-","402","-","-","-","-","126","612","24.298","-","-","2.583"
"Coronel Barros","4305871","-28.392199999990","-54.068600000000","-","137.500","132.500","-","-","-","-","-","-","-","-","-"
"Cotiporã","4305959","-28.989100000000","-51.697099999990","89.053","335.080","181.430","447.556","207.680","88.301","206.380","33.040","40.990","1.634.973","126.558","853.326"
"Coxilha","4305975","-28.128000000000","-52.302300000000","-","25","-","38.250","-","-","721.896","908.434","859.797","756.616","356.436","357.020"
"Crissiumal","4306007","-27.499900000000","-54.099400000000","5.696.781","6.105.126","27.027","672.323","3.376.228","9.512.939","14.318.227","12.975.533","4.137.508","7.467.719","3.848.011","7.788.057"
"Cristal","4306056","-31.004600000000","-52.043599999990","-","-","-","-","-","-","5.470.179","17.299.929","28.579.689","4.165.089","8.268.486","-"
"Cristal do Sul","4306072","-27.452000000000","-53.242199999990","57.441","107.286","-","-","-","-","-","-","-","-","-","-"
"Cruz Alta","4306106","-28.645000000000","-53.604799999990","132.783.451","544.475.868","703.779.914","1.143.692.044","689.778.995","346.065.321","264.555.211","379.835.816","525.910.289","574.474.017","382.857.869","890.572.017"
"Cruzeiro do Sul","4306205","-29.514800000000","-51.992800000000","11.149.346","10.549.586","18.681.479","17.311.677","16.817.051","15.386.461","13.781.377","27.243.903","18.462.195","21.643.698","12.956.190","29.995.026"
"Dilermando de Aguiar","4306379","-29.705400000000","-54.212200000000","-","-","1.010","-","2.413","1.853","-","-","-","-","103","6.893"
"Dois Irmãos","4306403","-29.583600000000","-51.089799999990","117.534.904","100.080.132","65.764.478","63.183.803","69.378.677","60.750.633","69.136.514","64.242.182","60.793.906","75.562.553","58.666.102","73.406.960"
"Dois Lajeados","4306452","-28.983000000000","-51.839599999990","4.024.175","1.893.896","-","-","-","1.019.993","3.556.428","836.870","4.007.292","5.283.161","5.772.368","4.850.884"
"Dom Pedrito","4306601","-30.975600000000","-54.669400000000","1.288.225","4.356.662","935.649","45.000","-","-","360.295","551.067","475.446","3.160.975","1.893.011","815.026"
"Dona Francisca","4306700","-29.619499999990","-53.361699999990","155.583","205.167","-","-","-","-","-","-","-","-","-","-"
"Doutor Ricardo","4306759","-29.084000000000","-51.997100000000","602.453","472.131","542.846","668.783","835.483","842.668","562.104","554.546","399.273","571.073","378.610","539.592"
"Eldorado do Sul","4306767","-30.084700000000","-51.618699999990","3.392.381","9.395.298","6.901.593","3.963.345","3.352.796","4.014.299","2.407.593","3.777.154","3.811.609","3.235.075","1.878.198","3.301.955"
"Encantado","4306809","-29.235099999990","-51.870300000000","41.378.216","45.654.304","75.894.078","91.285.087","93.559.437","89.251.193","74.563.051","77.476.847","94.504.204","84.479.224","100.752.095","104.089.749"
"Encruzilhada do Sul","4306908","-30.542999999990","-52.520400000000","3.614.333","2.363.416","1.630.076","882.143","1.481.147","1.620.847","2.477.799","4.211.134","4.588.087","3.551.767","3.623.518","4.618.619"
"Entre Rios do Sul","4306957","-27.529800000000","-52.734699999990","-","-","-","-","-","-","-","-","48.183","-","7.434","-"
"Entre-ijuís","4306932","-28.368600000000","-54.268599999990","779.740","1.082.520","558.900","295.000","-","-","-","-","-","-","-","-"
"Erebango","4306973","-27.854399999990","-52.300500000000","656.655","545.855","349.376","317.206","256.585","284.198","-","-","-","43.051","30.700","33.402"
"Erechim","4307005","-27.636399999990","-52.269700000000","105.790.512","100.311.791","144.494.123","139.671.385","145.684.114","146.114.933","109.709.160","88.548.672","107.021.674","78.713.609","66.664.697","107.499.011"
"Ernestina","4307054","-28.497699999990","-52.583599999990","-","1.088","-","-","546.301","2.592.809","2.137.398","1.958.236","211.500","-","-","10.709"
"Erval Grande","4307203","-27.392600000000","-52.573999999990","26.038","48.153","28.206","-","20.718","-","24.250","76.617","54.824","55.070","28.308","47.099"
"Espumoso","4307500","-28.728600000000","-52.846100000000","-","1.740.000","4.770.000","-","-","-","-","-","6.460","-","-","-"
